DJ_a,DJ_b,URTH_a,URTH_b,QQQ_a,QQQ_b,Vol,IVV_a,IVV_b,isHigh,isLow
-0.24861789185021352,160.00437032924754,-0.12061806491809422,62.13620060834116,0.11435696519771481,96.19815002419524,0.030087622337510198,-0.0468576446011343,185.8506545043042,1,0
-0.2362715421604482,159.87725791899797,-0.015930640105432794,61.92399542278098,0.13858343199769854,96.30235553469063,0.031267993892296966,0.006174154654061612,185.8360923125999,0,0
-0.032747440087313166,159.4287415688602,0.12871311887441542,61.717204199796214,0.22590023645519106,96.3620434913124,0.03264125637726622,0.23314887079624488,185.6095104938543,0,0
0.29590285910603586,158.78514777026834,0.306407236777917,61.495496614564665,0.34435852198927697,96.37737931209439,0.0248373247710036,0.5264661912836142,185.2802849732426,1,0
0.34282450027678985,158.95645670337674,0.26558910651457174,61.81985854984404,0.3641777431119924,96.64259838842516,0.022404041556045525,0.5443945028155494,185.68908791746836,0,1
0.3157455497334292,159.3192481544564,0.17946030886848746,62.209249493099044,0.3626922226133365,97.01129515441369,0.027476944786488374,0.47994002776424577,186.32764996986702,0,1
0.25677633598221844,159.741302939011,0.09116226115948421,62.533708436063186,0.3030221161897871,97.4726589504191,0.022144184261727137,0.3828539876925197,186.99974750562114,1,0
0.23013760297669042,160.05169017707973,0.05828566837634707,62.710146235310134,0.2718414543832731,97.81463085151935,0.023724961733545578,0.35880521326457476,187.41427757314787,0,0
0.23029091523873343,160.2766857131059,0.06411792353547174,62.752142453643216,0.2844378043370288,98.07743252628777,0.024006427387221634,0.36060033430141025,187.76109133319426,0,0
0.22315719052992875,160.51932650102052,0.059845453461623115,62.81917814814821,0.2550507164406855,98.41982000464156,0.021578438026882855,0.3712457702606796,188.14006555776217,1,0
0.20539294801001243,160.76298695816942,0.06641090697656327,62.86695761643423,0.27222787930653525,98.63502355622444,0.0277954459796298,0.38901621574382217,188.4746100214783,0,0
0.1982036227392994,160.98448776174624,0.0685048315721883,62.94717212800406,0.2658718493995792,98.90941417541606,0.027804264592303868,0.4549937543182465,188.77138655334483,0,0
0.1943399530300159,161.19234520449916,0.08435991877283852,62.98224112944869,0.23539980449116432,99.23287836160847,0.026881072671655962,0.5017436263189351,189.15699596825348,0,0
0.19265092235345654,161.39045754585138,0.11449170656038478,63.02790769099081,0.22246440826223085,99.47390795102211,0.02588691322443833,0.49895166267375296,189.64668441828886,0,0
0.20746863511358574,161.55945947354206,0.11695405201401964,63.130238085773776,0.19596439657800602,99.74063941305337,0.020865237427163532,0.4984645926857534,190.11727627850752,0,1
0.21119387461342287,161.7656784492428,0.11868423997867847,63.2432154486855,0.17314899764819064,99.97326421748872,0.01485139377007435,0.45697640498079994,190.70169017150351,0,0
0.2101570666644014,161.97036802504965,0.10679655680433332,63.36680791525034,0.15421739522469924,100.17607545972642,0.015131708982010226,0.41731546041220574,191.21377642822404,0,0
0.19761370994525124,162.1914734720533,0.10497264253706029,63.50071759740335,0.13858951238517891,100.35007143089133,0.014627356972538478,0.38510762838358215,191.66408729342058,1,0
0.19728839854739416,162.4042242848215,0.10669293407262545,63.589821270146,0.12915699585886606,100.51148739074834,0.022414561442505233,0.33584840598039367,192.12689135999966,0,0
0.21085688872952604,162.5894028977417,0.10100198401685188,63.70532526330262,0.13234524016178262,100.63968430759516,0.022713963352695064,0.30035380964993313,192.5354466601162,0,0
0.21887436864992713,162.77551596198666,0.1106946032528656,63.79083736860763,0.13118027593426848,100.76907695174359,0.016897263192093528,0.3337911597216004,192.80231562913897,0,0
0.20794532933502965,162.9961571197958,0.10450938593755009,63.92500594200831,0.14821679991159525,100.8794876195172,0.017061876950923285,0.3673667475994986,193.08638191801307,0,0
0.19424079192975297,163.2390597236159,0.10399951875744486,64.0087587855402,0.1535839921530017,101.02134348646881,0.016542795311949056,0.38446187754313976,193.4090058504709,0,0
0.21237949594034977,163.42351625381033,0.08150688760952925,64.14376221172067,0.15685975092466756,101.16430436157337,0.008878820931392323,0.40334031199720033,193.76477173344557,0,0
0.2606857082336501,163.56790524329546,0.06513589456486951,64.26142543957775,0.15593304645495162,101.31429395403956,0.007636146802591539,0.42495382820627703,194.15873574512344,0,0
0.27910989696300265,163.77732153079805,0.0648097422247954,64.33689695570183,0.12756151119897288,101.51412900949832,0.006792532921348578,0.4240212202369675,194.56186006033187,0,1
0.26954271496282217,164.06078144606286,0.07489845001311672,64.37744118959277,0.11115106870023768,101.66568461856939,0.01570978347488401,0.4005607233489316,194.99492104850896,0,0
0.2507992396304701,164.36389871404754,0.07291772866503672,64.45243880223127,0.09788308574811133,101.80073280044324,0.01350162651919651,0.32280789818190225,195.50782099621213,0,0
0.24539603258634549,164.63904025267414,0.09961729236216325,64.5039628421082,0.08491262163510598,101.920152667395,0.01230322243679377,0.24327016616148833,195.96594975946354,0,0
0.24627666076180157,164.86912982717578,0.159520577113555,64.53125940769625,0.07830196957411739,102.0114627722569,0.01701768486301856,0.20002314847692515,196.2723155619684,0,0
0.2514901053114649,165.11229844092313,0.2007762146615873,64.60740277193031,0.08211946762201988,102.09233216427263,0.017682297322327657,0.16595630335972858,196.53728559484324,0,0
0.2509910718224474,165.36574499292658,0.19446875202649824,64.78375843312674,0.09720836681485989,102.15921115527831,0.010483357780708217,0.16902353013989327,196.70811672372804,0,0
0.23181473097615785,165.6391494634168,0.13554827375021625,65.06083430161797,0.11212357696538582,102.22761617059457,0.010405936986240335,0.18986923604945963,196.85399304133244,0,0
