Date,DJ_a,DJ_b,URTH_a,URTH_b,QQQ_a,QQQ_b,High,Low,Close,Vol,IVV_a,IVV_b,next_high,next_low,isHigh,isLow
2020-02-20,0.13758829404032266,292.0519573594113,0.05487113843631044,100.76339965700487,0.42679685627690345,228.31528454756398,337.32000732421875,298.7099914550781,338.489990234375,0.013991435810651046,0.3987406053033887,333.7102411436443,341.87489013671876,335.10509033203124,0,1
2020-02-21,0.11326022332954568,292.2770772475482,0.06371521604530897,100.7776639735619,0.4285783763662933,228.70961559608196,327.2799987792969,286.7099914550781,335.010009765625,0.01775396123662834,0.36430274732921336,334.2053135262651,338.36010986328125,331.65990966796875,0,1
2020-02-24,0.10334142016205891,292.33562480613824,0.0688571705045442,100.80099167197845,0.394479968354654,229.20446437473353,326.05999755859375,286.7099914550781,323.8299865722656,0.03823007494369892,0.3335500585184753,334.5940647002808,327.06828643798826,320.591686706543,0,1
2020-02-25,-0.0488089043374337,292.8694348488231,0.02326826697898671,100.97769788795766,0.22494671080218057,230.09842267233267,319.5,286.7099914550781,314.1199951171875,0.04492709551294354,0.18281117963221669,335.3949190442013,317.26119506835937,310.97879516601563,1,1
2020-02-26,-0.36898831765262924,293.8277753268508,-0.030571749307053118,101.16778039490113,-0.05650935791121394,231.2413235151307,315.1499938964844,286.7099914550781,312.9100036621094,0.04406203200008575,-0.12566492007561564,336.60755522420214,316.03910369873046,309.7809036254883,0,1
2020-02-27,-0.7367922530647025,294.77509161350224,-0.13153299893513581,101.4624746985723,-0.3529051421514332,232.24492332954068,315.1499938964844,286.7099914550781,298.7099914550781,0.05583218109401823,-0.4948026401156478,337.78534745999036,301.69709136962894,295.7228915405273,1,1
2020-02-28,-1.205242002998199,295.72580628279786,-0.3892390864979904,102.13100341404427,-0.7271473474595985,233.2563541346287,315.1499938964844,291.4200134277344,295.9100036621094,0.05455914470395756,-0.9307622754157948,338.88055873676376,298.8691036987305,292.95090362548825,1,1
2020-03-02,-1.8402791190827008,296.8042132770557,-0.6676494785088951,102.73483124169866,-1.1769149673290658,234.2337211598947,315.1499938964844,274.57998657226557,310.3999938964844,0.08162552321503279,-1.525432655890623,340.08017362148604,313.5039938354492,307.29599395751956,1,1
2020-03-03,-2.314356212493944,297.0339983532913,-0.8753559403980259,102.97821169837204,-1.5206594875833965,234.61198004191763,314.75,274.57998657226557,301.5,0.08362623437377306,-1.9975299984072927,340.54794061612546,304.515,298.485,1,1
2020-03-04,-2.6288188482034864,296.4219499811071,-0.995534498678342,102.80592899911912,-1.7485810965270054,234.35155142371406,309.80999755859375,271.989990234375,314.75,0.09918794206108777,-2.33677045804899,340.27391265166244,317.8975,311.6025,0,1
2020-03-05,-2.706197156595389,294.7155966787162,-1.0220085909395764,102.19963716109754,-1.8004510362302732,233.23757161540775,300.0400085449219,248.55999755859372,303.760009765625,0.10284217424206957,-2.4662483611881942,339.0040507081237,306.79760986328125,300.72240966796875,0,1
2020-03-06,-2.5685273810719913,291.99987099735296,-0.9615629307642872,101.19844216057245,-1.6857631174746792,231.30330619245112,289.739990234375,248.55999755859372,298.70001220703125,0.10301085450719435,-2.3974511654469617,336.77946050259163,301.68701232910155,295.71301208496095,0,1
