ID,Date Created,Action,Size,Symbol,Order Price,Type,Status,Fill Price,Fill/Cancelled Date
54,2020-04-01,BUY,100,IVV,246.8000030517578,MKT,FILLED,246.8000030517578,2020-04-01
55,2020-04-01,SELL,100,IVV,249.26800308227538,LMT,FILLED,249.26800308227538,2020-04-02
56,2020-04-02,BUY,100,IVV,252.58999633789062,MKT,FILLED,252.58999633789062,2020-04-02
57,2020-04-02,SELL,100,IVV,255.11589630126954,LMT,FILLED,276.44000244140625,2020-04-13
58,2020-04-03,BUY,100,IVV,249.0200042724609,MKT,FILLED,249.0200042724609,2020-04-03
59,2020-04-03,SELL,100,IVV,251.51020431518552,LMT,FILLED,284.8299865722656,2020-04-14
60,2020-04-06,BUY,100,IVV,265.79998779296875,MKT,FILLED,265.79998779296875,2020-04-06
61,2020-04-06,SELL,100,IVV,268.45798767089843,LMT,FILLED,268.45798767089843,2020-04-07
62,2020-04-07,BUY,100,IVV,265.91000366210943,MKT,FILLED,265.91000366210943,2020-04-07
63,2020-04-07,SELL,100,IVV,268.56910369873054,LMT,FILLED,268.56910369873054,2020-04-08
64,2020-04-08,BUY,100,IVV,275.0,MKT,FILLED,275.0,2020-04-08
65,2020-04-08,SELL,100,IVV,277.75,LMT,FILLED,277.75,2020-04-09
66,2020-04-09,BUY,100,IVV,279.1199951171875,MKT,FILLED,279.1199951171875,2020-04-09
67,2020-04-09,SELL,100,IVV,281.9111950683594,LMT,FILLED,281.9111950683594,2020-04-14
68,2020-04-13,BUY,100,IVV,276.44000244140625,MKT,FILLED,276.44000244140625,2020-04-13
69,2020-04-13,SELL,100,IVV,279.2044024658203,LMT,FILLED,279.2044024658203,2020-04-15
70,2020-04-14,BUY,100,IVV,284.8299865722656,MKT,FILLED,284.8299865722656,2020-04-14
71,2020-04-14,SELL,100,IVV,287.6782864379883,LMT,FILLED,287.6782864379883,2020-04-17
72,2020-04-15,BUY,100,IVV,278.57000732421875,MKT,FILLED,278.57000732421875,2020-04-15
73,2020-04-15,SELL,100,IVV,281.35570739746095,LMT,FILLED,281.35570739746095,2020-04-22
74,2020-04-16,BUY,100,IVV,280.04998779296875,MKT,FILLED,280.04998779296875,2020-04-16
75,2020-04-16,SELL,100,IVV,282.8504876708984,LMT,FILLED,282.8504876708984,2020-04-20
76,2020-04-17,BUY,100,IVV,287.5799865722656,MKT,FILLED,287.5799865722656,2020-04-17
77,2020-04-17,SELL,100,IVV,290.4557864379883,LMT,FILLED,288.19000244140625,2020-04-27
78,2020-04-20,BUY,100,IVV,282.4599914550781,MKT,FILLED,282.4599914550781,2020-04-20
79,2020-04-20,SELL,100,IVV,285.2845913696289,LMT,FILLED,286.6400146484375,2020-04-28
80,2020-04-21,BUY,100,IVV,273.8599853515625,MKT,FILLED,273.8599853515625,2020-04-21
81,2020-04-21,SELL,100,IVV,276.5985852050781,LMT,FILLED,294.1300048828125,2020-04-29
82,2020-04-22,BUY,100,IVV,280.0599975585937,MKT,FILLED,280.0599975585937,2020-04-22
83,2020-04-22,SELL,100,IVV,282.86059753417965,LMT,FILLED,282.86059753417965,2020-04-23
84,2020-04-23,BUY,100,IVV,279.98001098632807,MKT,FILLED,279.98001098632807,2020-04-23
85,2020-04-23,SELL,100,IVV,282.77981109619134,LMT,FILLED,282.77981109619134,2020-04-24
86,2020-04-24,BUY,100,IVV,283.8999938964844,MKT,FILLED,283.8999938964844,2020-04-24
